Concept MoodTag1 MoodTag2 Semantic1 Semantic2 Semantic3 Semantic4 Semantic5

natural_object surprising admirable down bud shoot child hospital_room
phase_space joyful interesting nonuniformity prosperity embarrassment invaluableness touch
cakewalk joyful interesting success hit advent passing feat
masterpiece joyful interesting success hit advent passing feat
masterstroke joyful interesting success hit advent passing feat
cross-fertilization joyful interesting contact progress favor politeness deference
derring-do joyful interesting feat success hit advent passing
mitzvah joyful interesting embrace reordering administration embodiment art
tour_de_force joyful interesting feat success hit advent passing
overachievement joyful interesting underachievement performance success hit advent
underachievement joyful interesting overachievement performance success hit advent
fait_accompli joyful interesting success hit advent passing feat
advent interesting joyful success passing feat hit intemperance
reappearance interesting joyful intemperance change_of_state success dismissal reverence
surfacing joyful interesting embrace reordering administration embodiment art
world_record joyful interesting record success hit passing advent
blockbuster joyful interesting hit success passing advent feat
flying_colors joyful interesting success hit passing advent feat
breach_of_the_covenant_of_warranty joyful interesting breach_of_contract breach_of_trust failure bull freudian_slip
breach_of_trust_with_fraudulent_intent joyful interesting prostitution arrogance evil mortal_sin lust
freudian_slip joyful interesting failure bull breach_of_contract breach_of_trust breach_of_the_covenant_of_warranty
bull interesting joyful failure activity intemperance venture aid
jumping_up_and_down joyful interesting caper shellfire embrace reordering administration
shellfire joyful interesting caper jumping_up_and_down embrace reordering administration
fine-tooth_comb joyful interesting investigation checkup collation going-over testing
going-over joyful interesting investigation fine-tooth_comb checkup collation testing
cross-pollination joyful interesting manipulation enticement impingement seduction embrace
impingement joyful interesting manipulation enticement cross-pollination seduction embrace
manipulation interesting joyful activity intemperance venture aid change_of_state
sexual_conquest joyful interesting success hit passing advent feat
footwork joyful interesting progress favor politeness deference reappearance
bear_hug joyful interesting assay best embrace reordering embodiment
golden_parachute joyful interesting poison_pill progress favor politeness deference
poison_pill joyful interesting golden_parachute progress favor politeness deference
double-blind_procedure joyful interesting plastic_surgery embrace reordering embodiment art
open_sesame joyful interesting embrace reordering administration embodiment art
plebiscite joyful interesting administration obedience disobedience issus legal_action
conversion joyful interesting success hit passing advent feat
run_batted_in joyful interesting success hit passing advent feat
preferment joyful interesting progress degradation change_of_shape care wandering
abnegation joyful interesting keeping devotion formality reenlistment honoring
follow-through joyful interesting orgasm dismissal degradation care humiliation
conge joyful interesting dismissal orgasm degradation care humiliation
razing joyful interesting dismissal orgasm degradation care humiliation
cold_turkey joyful interesting dismissal orgasm degradation care humiliation
habitual_abortion joyful interesting dismissal orgasm degradation care humiliation
write-off joyful interesting degradation care dismissal humiliation orgasm
purification joyful interesting success hit advent passing feat
reform joyful interesting care degradation dismissal humiliation orgasm
amelioration joyful interesting care degradation dismissal humiliation orgasm
enhancement joyful interesting care degradation dismissal humiliation orgasm
camera_care joyful interesting care degradation dismissal humiliation orgasm
car_care joyful interesting care degradation dismissal humiliation orgasm
scheduled_maintenance joyful interesting care degradation dismissal humiliation orgasm
bastardization joyful interesting degradation humiliation care dismissal orgasm
goose_step joyful interesting progress wandering degradation change_of_shape care
space_walk joyful interesting embrace reordering embodiment art appearance
ecotourism joyful interesting administration obedience disobedience issus legal_action
calf_roping joyful interesting steer_roping labor press venture action
steer_roping joyful interesting calf_roping labor press venture action
grand_tour joyful interesting wandering progress degradation change_of_shape care
junketing joyful interesting wandering progress degradation change_of_shape care
maiden_voyage joyful interesting wandering progress degradation change_of_shape care
bareboating joyful interesting wandering progress degradation change_of_shape care
devaluation joyful interesting progress degradation change_of_shape care wandering
stockpiling joyful interesting hyperextension progress degradation change_of_shape care
dichotomization joyful interesting dislodgment simplification progress degradation change_of_shape
dislodgment joyful interesting simplification dichotomization progress degradation change_of_shape
urban_renewal joyful interesting refreshment correctional_rehabilitation care degradation dismissal
transfiguration joyful interesting permutation progress degradation change_of_shape care
rescue_operation joyful interesting embrace reordering embodiment art appearance
biologism joyful interesting custom outrage habit habitude practice
ornamentalism joyful interesting custom outrage habit habitude practice
second_nature joyful interesting habit custom outrage habitude practice
habitude interesting joyful practice custom habit outrage activity
primrose_path joyful interesting progress favor politeness deference reappearance
straight_and_narrow joyful interesting progress favor politeness deference reappearance
unwritten_law joyful interesting custom outrage habit habitude practice
cup_of_tea interesting joyful activity venture aid art mortal_sin
acrobatics joyful interesting athletic_game magic_trick celebration reel antic
